Voter,Gender,Party,Military,Overseas,Absentee,RegDate
v1,F,Green,Y,N,Y,2012/7/4
v2,M,Democratic,N,N,N,2010/1/1
v3,F,Democratic,N,N,Y,2012/7/4
v4,M,Republican,Y,N,Y,2010/1/1
v5,M,Republican,N,N,N,2010/1/1
v6,M,Republican,N,N,Y,2012/7/4
v7,M,Republican,N,N,N,2012/7/4
v8,F,Republican,N,N,N,2010/1/1
v9,F,Republican,N,N,N,2012/7/4
v10,F,Republican,N,N,N,2010/1/1
v11,M,Democratic,N,N,Y,2010/1/1
v12,F,Republican,N,N,N,2010/1/1
v13,F,Republican,N,N,N,2012/7/4
v14,M,Republican,N,N,Y,2010/1/1
v15,M,Republican,N,N,Y,2012/7/4
v16,M,Green,N,N,Y,2010/1/1
v17,M,Democratic,N,N,Y,2010/1/1
v18,M,Republican,N,N,N,2010/1/1
v19,M,Republican,N,N,N,2010/1/1
v20,F,Republican,N,N,N,2012/7/4
v21,F,Republican,N,N,N,2012/7/4
v22,F,Republican,N,N,Y,2010/1/1
v23,M,Republican,N,N,N,2012/7/4
v24,F,Democratic,N,N,N,2012/7/4
v25,F,Republican,N,N,N,2010/1/1
v26,F,Democratic,N,N,N,2010/1/1
v27,F,Democratic,N,Y,Y,2012/7/4
v28,F,Republican,N,N,N,2012/7/4
v29,F,Republican,N,N,N,2012/7/4
v30,F,Democratic,N,N,N,2012/7/4
v31,M,Republican,N,N,Y,2012/7/4
v32,F,Green,N,N,Y,2012/7/4
v33,F,Democratic,N,N,N,2010/1/1
v34,F,Green,N,N,Y,2012/7/4
v35,M,Democratic,N,N,N,2010/1/1
v36,M,Democratic,N,N,N,2010/1/1
v37,F,Democratic,N,N,Y,2010/1/1
v38,F,Republican,N,N,N,2010/1/1
v39,F,Republican,N,N,N,2010/1/1
v40,M,Republican,N,N,N,2010/1/1
v41,F,Republican,N,N,N,2012/7/4
v42,F,Republican,N,N,Y,2012/7/4
v43,F,Republican,N,N,N,2010/1/1
v44,M,Democratic,N,N,N,2010/1/1
v45,F,Green,N,N,Y,2010/1/1
v46,M,Republican,N,N,Y,2012/7/4
v47,F,Democratic,N,N,Y,2010/1/1
v48,M,Democratic,Y,N,N,2010/1/1
v49,M,Democratic,N,N,N,2010/1/1
v50,F,Republican,N,N,Y,2012/7/4
v51,F,Green,Y,N,Y,2012/7/4
v52,F,Green,N,N,Y,2010/1/1
v53,M,Democratic,N,N,Y,2012/7/4
v54,M,Republican,N,N,Y,2010/1/1
v55,F,Democratic,N,N,Y,2010/1/1
v56,M,Democratic,N,N,Y,2010/1/1
v57,F,Democratic,N,Y,Y,2012/7/4
v58,F,Green,N,N,N,2012/7/4
v59,F,Democratic,N,N,Y,2012/7/4
