Voter,Type,Gender,Party
v1,UOCAVA,M,Republican
v2,domestic,F,Democratic
v3,domestic,M,Democratic
v4,domestic,M,Republican,military
v5,domestic,M,Democratic
v6,domestic,F,Republican
v7,domestic,F,Democratic
v8,domestic,M,Democratic
v9,domestic,M,Democratic,military
v10,domestic,F,Democratic
v11,domestic,M,Republican
v12,domestic,F,Republican
v13,domestic,M,Green
v14,domestic,M,Republican,military
v15,domestic,F,Democratic
v16,domestic,F,Democratic
v17,UOCAVA,M,Republican
v18,domestic,M,Republican
v19,domestic,F,Green,military
v20,domestic,F,Republican
v21,domestic,F,Republican
v22,domestic,M,Democratic
v23,domestic,F,Republican
v24,domestic,F,Republican,military
v25,domestic,M,Green
v26,domestic,F,Republican
v27,UOCAVA,M,Democratic
v28,domestic,M,Republican
v29,UOCAVA,F,Democratic,military
v30,domestic,F,Republican
v31,domestic,F,Democratic
v32,UOCAVA,F,Green
v33,domestic,M,Democratic
v34,domestic,M,Democratic,military
v35,domestic,M,Democratic
v36,domestic,F,Democratic
v37,domestic,M,Republican
v38,domestic,M,Democratic
v39,domestic,F,Republican,military
v40,domestic,M,Green
v41,domestic,F,Republican
v42,domestic,M,Democratic
v43,domestic,F,Democratic
v44,UOCAVA,F,Republican,military
v45,domestic,F,Green
v46,domestic,M,Democratic
v47,domestic,F,Republican
v48,domestic,M,Democratic
v49,UOCAVA,M,Republican,military
v50,domestic,M,Republican
v51,domestic,M,Republican
v52,domestic,F,Democratic
v53,domestic,F,Republican
v54,domestic,M,Republican,military
v55,domestic,F,Republican
v56,domestic,M,Democratic
v57,domestic,M,Republican
v58,domestic,F,Republican
v59,domestic,M,Democratic,military
v60,domestic,F,Republican
v61,domestic,M,Democratic
v62,domestic,M,Republican
v63,domestic,F,Republican
v64,domestic,F,Republican,military
v65,UOCAVA,F,Democratic
v66,domestic,F,Republican
v67,domestic,M,Democratic
v68,domestic,F,Republican
v69,domestic,M,Democratic,military
v70,domestic,M,Democratic
v71,domestic,F,Republican
v72,domestic,M,Democratic
v73,domestic,F,Democratic
v74,domestic,F,Democratic,military
v75,domestic,F,Democratic
v76,domestic,F,Democratic
v77,domestic,M,Democratic
v78,domestic,F,Democratic
v79,UOCAVA,M,Democratic,military
v80,domestic,M,Republican
v81,domestic,F,Democratic
v82,UOCAVA,F,Democratic
v83,domestic,F,Democratic
v84,domestic,M,Democratic,military
v85,domestic,F,Republican
v86,domestic,F,Republican
v87,domestic,F,Democratic
v88,domestic,F,Republican
v89,UOCAVA,F,Democratic,military
v90,domestic,F,Democratic
v91,domestic,F,Republican
v92,domestic,M,Republican
v93,UOCAVA,F,Republican
v94,domestic,M,Republican,military
v95,domestic,F,Democratic
v96,domestic,F,Republican
v97,domestic,M,Republican
v98,domestic,F,Democratic
v99,domestic,F,Republican,military
v100,domestic,F,Green
v101,domestic,F,Democratic
v102,domestic,M,Democratic
v103,UOCAVA,M,Republican
v104,domestic,F,Democratic,military
v105,domestic,F,Republican
v106,UOCAVA,M,Democratic
v107,domestic,M,Democratic
v108,domestic,M,Democratic
v109,domestic,F,Republican,military
v110,domestic,M,Green
v111,domestic,F,Republican
v112,domestic,M,Democratic
v113,UOCAVA,F,Republican
v114,domestic,M,Republican,military
v115,domestic,F,Republican
v116,domestic,M,Democratic
v117,domestic,F,Republican
v118,domestic,F,Democratic
v119,domestic,F,Republican,military
v120,domestic,M,Republican
v121,UOCAVA,F,Republican
v122,domestic,M,Green
v123,domestic,M,Democratic
v124,domestic,M,Democratic,military
v125,domestic,F,Democratic
v126,domestic,F,Republican
v127,domestic,F,Republican
v128,domestic,F,Democratic
v129,domestic,F,Democratic,military
v130,domestic,F,Democratic
v131,domestic,M,Republican
v132,domestic,F,Republican
v133,domestic,F,Democratic
v134,domestic,M,Republican,military
v135,domestic,F,Republican
v136,domestic,F,Democratic
v137,domestic,F,Democratic
v138,UOCAVA,F,Democratic
v139,domestic,M,Democratic,military
v140,domestic,M,Democratic
v141,domestic,M,Republican
v142,domestic,M,Democratic
v143,domestic,M,Republican
v144,domestic,M,Republican,military
v145,domestic,M,Republican
v146,domestic,M,Democratic
v147,domestic,F,Democratic
v148,domestic,M,Republican
v149,domestic,M,Republican,military
v150,domestic,M,Democratic
v151,domestic,F,Republican
v152,domestic,F,Democratic
v153,UOCAVA,M,Republican
v154,domestic,F,Republican,military
v155,domestic,M,Republican
v156,domestic,M,Republican
v157,domestic,M,Republican
v158,domestic,M,Republican
v159,domestic,M,Democratic,military
v160,domestic,F,Republican
v161,domestic,F,Green
v162,domestic,M,Green
v163,domestic,F,Democratic
v164,domestic,F,Republican,military
v165,domestic,M,Democratic
v166,domestic,F,Democratic
v167,domestic,M,Republican
v168,domestic,F,Republican
v169,domestic,M,Democratic,military
v170,domestic,F,Republican
v171,domestic,M,Republican
v172,domestic,M,Republican
v173,domestic,M,Democratic
v174,domestic,M,Republican,military
v175,domestic,M,Republican
v176,UOCAVA,F,Republican
v177,domestic,F,Republican
v178,domestic,M,Republican
v179,domestic,M,Democratic,military
v180,domestic,M,Democratic
v181,domestic,F,Democratic
v182,domestic,F,Republican
v183,domestic,M,Republican
v184,domestic,F,Green,military
v185,domestic,M,Democratic
v186,domestic,F,Democratic
v187,domestic,M,Democratic
v188,domestic,M,Democratic
v189,domestic,M,Republican,military
v190,domestic,F,Republican
v191,UOCAVA,M,Green
v192,domestic,F,Republican
v193,domestic,F,Green
v194,domestic,M,Republican,military
v195,domestic,F,Republican
v196,domestic,M,Republican
v197,domestic,F,Republican
v198,domestic,M,Republican
v199,domestic,F,Democratic,military
v200,domestic,M,Democratic
v201,domestic,F,Republican
v202,domestic,M,Green
v203,domestic,M,Republican
v204,domestic,F,Democratic,military
v205,domestic,F,Democratic
v206,domestic,F,Democratic
v207,UOCAVA,M,Democratic
v208,domestic,F,Democratic
v209,domestic,F,Green,military
v210,domestic,M,Democratic
v211,domestic,M,Republican
v212,domestic,M,Republican
v213,domestic,M,Democratic
v214,domestic,M,Green,military
v215,domestic,F,Republican
v216,domestic,M,Republican
v217,domestic,M,Democratic
v218,domestic,M,Democratic
v219,UOCAVA,M,Democratic,military
v220,domestic,M,Democratic
v221,domestic,F,Democratic
v222,domestic,F,Democratic
v223,domestic,F,Republican
v224,domestic,F,Green,military
v225,domestic,F,Democratic
v226,UOCAVA,M,Republican
v227,domestic,F,Democratic
v228,domestic,F,Republican
v229,domestic,M,Republican,military
v230,domestic,M,Democratic
v231,UOCAVA,M,Democratic
v232,domestic,M,Democratic
v233,domestic,M,Democratic
v234,domestic,F,Republican,military
v235,domestic,M,Republican
v236,domestic,M,Democratic
v237,UOCAVA,M,Democratic
v238,domestic,F,Democratic
v239,domestic,F,Democratic,military
v240,domestic,M,Democratic
v241,domestic,M,Republican
v242,domestic,M,Green
v243,domestic,M,Democratic
v244,domestic,F,Republican,military
v245,domestic,M,Republican
v246,domestic,M,Democratic
v247,domestic,F,Republican
v248,domestic,F,Republican
v249,domestic,F,Democratic,military
v250,domestic,F,Republican
v251,domestic,M,Democratic
v252,domestic,F,Democratic
v253,domestic,F,Republican
v254,UOCAVA,F,Democratic,military
v255,domestic,M,Democratic
v256,domestic,M,Republican
v257,domestic,M,Democratic
v258,domestic,M,Republican
v259,domestic,F,Democratic,military
v260,domestic,F,Democratic
v261,domestic,M,Republican
v262,domestic,M,Democratic
v263,domestic,M,Republican
v264,domestic,F,Democratic,military
v265,domestic,M,Republican
v266,domestic,M,Democratic
v267,domestic,M,Democratic
v268,domestic,F,Republican
v269,domestic,F,Democratic,military
v270,UOCAVA,M,Republican
v271,domestic,M,Democratic
v272,domestic,M,Republican
v273,domestic,F,Republican
v274,UOCAVA,M,Green,military
v275,domestic,M,Democratic
v276,domestic,F,Republican
v277,domestic,M,Democratic
v278,domestic,M,Republican
v279,domestic,M,Green,military
v280,domestic,F,Republican
v281,domestic,F,Democratic
v282,domestic,M,Democratic
v283,domestic,M,Democratic
v284,UOCAVA,F,Green,military
v285,domestic,F,Republican
v286,domestic,M,Republican
v287,UOCAVA,F,Republican
v288,domestic,F,Democratic
v289,domestic,F,Republican,military
v290,domestic,F,Republican
v291,domestic,M,Republican
v292,domestic,F,Republican
v293,domestic,F,Republican
v294,domestic,F,Green,military
v295,domestic,F,Green
v296,domestic,F,Republican
v297,domestic,M,Republican
v298,domestic,F,Democratic
v299,domestic,M,Republican,military
v300,domestic,M,Republican
v301,UOCAVA,M,Democratic
v302,domestic,M,Green
v303,domestic,F,Republican
v304,domestic,F,Democratic,military
v305,domestic,F,Democratic
v306,domestic,M,Republican
v307,domestic,M,Green
v308,domestic,F,Democratic
v309,UOCAVA,F,Democratic,military
v310,domestic,M,Democratic
v311,domestic,F,Democratic
v312,domestic,F,Republican
v313,domestic,F,Democratic
v314,domestic,F,Democratic,military
v315,domestic,M,Democratic
v316,domestic,M,Republican
v317,domestic,F,Democratic
v318,domestic,F,Republican
v319,domestic,M,Democratic,military
v320,domestic,F,Democratic
v321,domestic,F,Republican
v322,domestic,M,Green
v323,domestic,M,Republican
v324,UOCAVA,F,Republican,military
v325,domestic,F,Democratic
v326,domestic,M,Republican
v327,domestic,F,Green
v328,domestic,F,Green
v329,domestic,F,Republican,military
v330,domestic,M,Democratic
v331,domestic,F,Democratic
v332,domestic,F,Democratic
v333,domestic,M,Green
v334,domestic,M,Democratic,military
v335,domestic,F,Republican
v336,domestic,M,Republican
v337,domestic,F,Green
v338,domestic,M,Democratic
v339,domestic,F,Republican,military
v340,domestic,M,Democratic
v341,domestic,M,Democratic
v342,domestic,F,Democratic
v343,domestic,F,Republican
v344,domestic,M,Republican,military
v345,domestic,F,Republican
v346,UOCAVA,M,Democratic
v347,domestic,M,Republican
v348,UOCAVA,F,Democratic
v349,domestic,F,Democratic,military
v350,domestic,F,Democratic
v351,domestic,F,Democratic
v352,domestic,F,Democratic
v353,domestic,M,Republican
v354,domestic,M,Democratic,military
v355,domestic,M,Republican
v356,domestic,M,Democratic
v357,domestic,F,Democratic
v358,domestic,M,Republican
v359,domestic,F,Green,military
v360,domestic,F,Republican
v361,domestic,F,Green
v362,domestic,M,Democratic
v363,domestic,F,Republican
v364,domestic,F,Democratic,military
v365,domestic,M,Republican
v366,domestic,M,Republican
v367,UOCAVA,M,Democratic
v368,UOCAVA,F,Republican
v369,domestic,M,Democratic,military
v370,domestic,M,Democratic
v371,domestic,M,Democratic
v372,domestic,M,Democratic
v373,domestic,M,Democratic
v374,domestic,M,Democratic,military
v375,domestic,M,Green
v376,domestic,F,Republican
v377,domestic,F,Republican
v378,domestic,M,Republican
v379,domestic,F,Green,military
v380,domestic,M,Republican
v381,UOCAVA,F,Republican
v382,domestic,F,Republican
v383,UOCAVA,F,Republican
v384,domestic,F,Republican,military
v385,domestic,F,Republican
v386,domestic,M,Democratic
v387,domestic,F,Democratic
v388,domestic,F,Democratic
v389,domestic,M,Democratic,military
v390,domestic,M,Republican
v391,domestic,F,Green
v392,domestic,M,Republican
v393,domestic,F,Green
v394,domestic,M,Democratic,military
v395,domestic,M,Democratic
v396,domestic,F,Republican
v397,domestic,F,Republican
v398,domestic,F,Democratic
v399,domestic,F,Republican,military
v400,domestic,F,Republican
v401,domestic,M,Democratic
v402,domestic,F,Green
v403,domestic,M,Republican
v404,domestic,M,Democratic,military
v405,domestic,F,Democratic
v406,domestic,M,Democratic
v407,domestic,F,Democratic
v408,domestic,F,Democratic
v409,domestic,M,Green,military
v410,domestic,M,Republican
v411,domestic,F,Republican
v412,domestic,F,Republican
v413,domestic,M,Green
v414,domestic,F,Green,military
v415,domestic,F,Green
v416,domestic,M,Democratic
v417,domestic,F,Republican
v418,domestic,M,Democratic
v419,domestic,F,Democratic,military
v420,domestic,M,Republican
v421,domestic,F,Republican
v422,domestic,M,Democratic
v423,domestic,M,Democratic
v424,domestic,M,Republican,military
v425,domestic,M,Republican
v426,domestic,F,Republican
v427,domestic,M,Democratic
v428,domestic,F,Democratic
v429,domestic,F,Republican,military
v430,UOCAVA,F,Republican
v431,domestic,F,Democratic
v432,domestic,M,Republican
v433,domestic,F,Republican
v434,domestic,F,Democratic,military
v435,domestic,M,Democratic
v436,domestic,F,Democratic
v437,domestic,F,Democratic
v438,domestic,M,Democratic
v439,domestic,F,Republican,military
v440,domestic,M,Democratic
v441,domestic,M,Republican
v442,domestic,M,Democratic
v443,domestic,F,Green
v444,domestic,M,Republican,military
v445,domestic,F,Republican
v446,domestic,M,Green
v447,domestic,F,Republican
v448,domestic,M,Green
v449,UOCAVA,F,Democratic,military
v450,UOCAVA,F,Republican
v451,domestic,F,Democratic
v452,domestic,F,Democratic
v453,domestic,F,Democratic
v454,UOCAVA,F,Democratic,military
v455,domestic,M,Republican
v456,domestic,M,Democratic
v457,domestic,M,Democratic
v458,domestic,F,Republican
v459,domestic,F,Democratic,military
v460,domestic,F,Republican
v461,domestic,M,Republican
v462,domestic,M,Republican
v463,domestic,F,Republican
v464,domestic,M,Republican,military
v465,domestic,M,Green
v466,domestic,F,Democratic
v467,domestic,F,Republican
v468,domestic,F,Democratic
v469,domestic,M,Republican,military
v470,domestic,F,Republican
v471,domestic,M,Democratic
v472,domestic,F,Green
v473,domestic,M,Democratic
v474,domestic,M,Democratic,military
v475,domestic,F,Democratic
v476,domestic,F,Democratic
