Voter,Type,Gender,Party
v1,domestic,F,Green
v2,domestic,M,Democratic
v3,domestic,F,Republican
v4,domestic,M,Republican
v5,domestic,F,Democratic
v6,domestic,F,Democratic
v7,domestic,F,Republican
v8,UOCAVA,M,Democratic
v9,domestic,M,Republican
v10,domestic,M,Democratic
v11,domestic,M,Democratic
v12,domestic,M,Republican
v13,domestic,F,Democratic
v14,domestic,F,Democratic
v15,domestic,M,Democratic
v16,domestic,F,Democratic
v17,UOCAVA,M,Republican
v18,UOCAVA,F,Republican
v19,domestic,M,Green
v20,domestic,F,Democratic
v21,domestic,F,Republican
v22,domestic,F,Democratic
v23,domestic,M,Democratic
v24,domestic,M,Republican
v25,domestic,F,Republican
v26,domestic,M,Green
v27,UOCAVA,M,Democratic
v28,domestic,M,Republican
v29,domestic,F,Republican
v30,domestic,F,Republican
v31,domestic,F,Republican
v32,domestic,F,Democratic
v33,domestic,F,Republican
v34,domestic,M,Republican
v35,domestic,F,Green
v36,domestic,F,Democratic
v37,domestic,F,Democratic
v38,domestic,M,Republican
v39,domestic,F,Democratic
v40,domestic,M,Republican
v41,UOCAVA,M,Democratic
v42,domestic,F,Democratic
v43,UOCAVA,F,Republican
v44,domestic,M,Democratic
v45,domestic,M,Republican
v46,domestic,M,Republican
v47,domestic,M,Republican
v48,domestic,F,Republican
v49,domestic,F,Green
v50,domestic,F,Democratic
v51,domestic,M,Republican
v52,domestic,M,Republican
v53,domestic,M,Democratic
v54,domestic,F,Democratic
v55,domestic,M,Republican
v56,domestic,F,Republican
v57,domestic,F,Democratic
v58,domestic,F,Republican
v59,domestic,M,Green
v60,UOCAVA,M,Republican
v61,domestic,M,Democratic
v62,domestic,F,Democratic
v63,UOCAVA,F,Democratic
v64,domestic,M,Democratic
v65,domestic,F,Democratic
v66,domestic,M,Republican
v67,domestic,M,Green
v68,domestic,F,Republican
v69,domestic,M,Republican
v70,UOCAVA,M,Democratic
v71,domestic,F,Republican
v72,domestic,M,Republican
v73,domestic,M,Republican
v74,domestic,F,Democratic
v75,domestic,M,Republican
v76,UOCAVA,M,Republican
v77,domestic,M,Democratic
v78,domestic,M,Republican
v79,UOCAVA,M,Republican
v80,UOCAVA,M,Republican
v81,domestic,M,Democratic
v82,domestic,F,Republican
v83,domestic,F,Democratic
v84,domestic,F,Green
v85,domestic,M,Democratic
v86,domestic,F,Democratic
v87,domestic,F,Republican
v88,domestic,M,Republican
v89,domestic,F,Republican
v90,domestic,F,Republican
v91,UOCAVA,F,Republican
v92,domestic,F,Democratic
v93,domestic,M,Democratic
v94,UOCAVA,M,Green
v95,domestic,F,Democratic
v96,domestic,F,Republican
v97,domestic,F,Democratic
v98,domestic,F,Democratic
v99,UOCAVA,F,Democratic
v100,domestic,M,Republican
v101,domestic,M,Republican
v102,domestic,M,Democratic
v103,UOCAVA,F,Republican
v104,domestic,M,Democratic
v105,domestic,F,Republican
v106,domestic,M,Democratic
v107,domestic,M,Democratic
v108,domestic,M,Republican
v109,domestic,F,Democratic
v110,domestic,F,Democratic
v111,domestic,M,Green
v112,domestic,M,Republican
v113,domestic,M,Democratic
v114,domestic,F,Democratic
v115,domestic,M,Republican
v116,UOCAVA,F,Democratic
v117,domestic,F,Republican
v118,domestic,M,Republican
v119,domestic,F,Democratic
v120,domestic,F,Green
v121,domestic,F,Republican
v122,domestic,F,Democratic
v123,domestic,M,Democratic
v124,domestic,M,Democratic
v125,domestic,M,Democratic
v126,domestic,F,Democratic
v127,domestic,M,Democratic
v128,domestic,M,Republican
v129,domestic,M,Democratic
v130,domestic,M,Democratic
v131,domestic,F,Democratic
v132,domestic,F,Republican
v133,domestic,F,Green
v134,domestic,F,Republican
v135,domestic,F,Democratic
v136,domestic,M,Democratic
v137,domestic,M,Democratic
v138,domestic,M,Republican
v139,domestic,M,Democratic
v140,domestic,M,Democratic
v141,domestic,M,Green
v142,domestic,M,Republican
v143,UOCAVA,M,Democratic
v144,domestic,M,Republican
v145,domestic,M,Democratic
v146,domestic,M,Democratic
v147,domestic,F,Republican
v148,domestic,M,Republican
v149,UOCAVA,F,Democratic
v150,domestic,M,Democratic
v151,domestic,F,Republican
v152,domestic,F,Republican
v153,domestic,F,Democratic
v154,domestic,M,Republican
v155,domestic,F,Democratic
v156,domestic,M,Democratic
v157,domestic,M,Republican
v158,domestic,F,Democratic
v159,domestic,F,Democratic
v160,domestic,M,Republican
v161,domestic,M,Democratic
v162,domestic,M,Democratic
v163,domestic,M,Democratic
v164,domestic,F,Democratic
v165,domestic,F,Republican
v166,domestic,M,Republican
v167,domestic,M,Republican
v168,domestic,F,Green
v169,domestic,M,Green
v170,domestic,M,Green
v171,domestic,F,Republican
v172,domestic,M,Green
v173,domestic,F,Democratic
v174,domestic,F,Republican
v175,domestic,M,Green
v176,domestic,M,Democratic
v177,domestic,M,Republican
v178,domestic,M,Republican
v179,domestic,F,Democratic
v180,domestic,F,Green
v181,domestic,F,Democratic
v182,domestic,F,Republican
v183,domestic,M,Democratic
v184,domestic,F,Democratic
v185,domestic,M,Republican
v186,domestic,M,Republican
v187,domestic,F,Democratic
v188,domestic,M,Democratic
v189,domestic,F,Republican
v190,domestic,F,Democratic
v191,domestic,M,Democratic
v192,domestic,M,Republican
v193,domestic,M,Republican
v194,domestic,F,Republican
v195,domestic,M,Democratic
v196,domestic,M,Democratic
v197,domestic,F,Republican
v198,UOCAVA,M,Democratic
v199,domestic,F,Democratic
v200,domestic,F,Republican
v201,domestic,F,Republican
v202,domestic,F,Republican
v203,domestic,M,Green
v204,domestic,F,Republican
v205,domestic,F,Republican
v206,domestic,F,Democratic
v207,domestic,M,Republican
v208,domestic,F,Republican
v209,domestic,F,Republican
v210,domestic,F,Republican
v211,domestic,M,Democratic
v212,UOCAVA,M,Democratic
v213,domestic,M,Republican
v214,domestic,M,Green
v215,domestic,F,Democratic
v216,domestic,M,Democratic
v217,domestic,M,Democratic
v218,UOCAVA,M,Republican
v219,domestic,M,Democratic
v220,domestic,F,Democratic
v221,domestic,M,Republican
v222,domestic,F,Democratic
v223,domestic,M,Republican
v224,domestic,F,Republican
v225,domestic,M,Republican
v226,domestic,M,Republican
v227,domestic,F,Democratic
v228,domestic,F,Republican
v229,domestic,F,Democratic
v230,domestic,F,Republican
v231,domestic,F,Republican
v232,UOCAVA,F,Green
v233,UOCAVA,M,Democratic
v234,UOCAVA,F,Republican
v235,domestic,M,Republican
v236,domestic,M,Democratic
v237,domestic,M,Democratic
v238,domestic,M,Green
v239,domestic,M,Democratic
v240,domestic,M,Democratic
v241,domestic,F,Democratic
v242,domestic,F,Democratic
v243,domestic,M,Green
v244,UOCAVA,M,Republican
v245,domestic,M,Democratic
v246,domestic,F,Democratic
v247,domestic,M,Democratic
v248,domestic,M,Republican
v249,UOCAVA,M,Democratic
v250,UOCAVA,M,Democratic
v251,UOCAVA,M,Democratic
v252,domestic,M,Republican
v253,domestic,M,Democratic
v254,domestic,M,Democratic
v255,domestic,F,Green
v256,domestic,M,Republican
v257,domestic,F,Republican
v258,domestic,F,Democratic
v259,domestic,M,Democratic
v260,domestic,F,Democratic
v261,domestic,F,Republican
v262,domestic,F,Republican
v263,domestic,F,Green
v264,domestic,M,Republican
v265,domestic,M,Republican
v266,domestic,M,Republican
v267,domestic,M,Democratic
v268,domestic,M,Green
v269,UOCAVA,M,Democratic
v270,domestic,F,Democratic
v271,domestic,M,Green
v272,domestic,F,Green
v273,domestic,F,Democratic
v274,domestic,M,Republican
v275,domestic,F,Republican
v276,domestic,M,Democratic
v277,domestic,M,Republican
v278,UOCAVA,F,Democratic
v279,domestic,F,Republican
v280,domestic,M,Republican
v281,domestic,F,Republican
